Symbol,Open,High,Low,Close,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
SBIN,514.3,520.9,513.75,517.7,4.85,0.95,154.41,798.4,549,321.3,51.82,6.71
FEDERALBNK,99,100.2,98.25,98.75,0.3,0.3,116.05,115.2,107.65,70.2,28.25,4.06
PNB,36.85,37.15,36.6,36.75,0,0,226.07,83.33,48.2,31.75,4.7,-0.14
INDUSINDBK,992,996.25,982,983.9,-1.2,-0.12,20.6,204.06,"1,242.00",811,12.14,8.41
AUBANK,"1,405.80","1,429.50","1,397.00","1,399.00",-1.95,-0.14,14,196.97,"1,429.50",910,29.44,24.79
ICICIBANK,769.6,772.55,760.7,761.55,-2.3,-0.3,161.2,"1,236.32",867,531.15,35.85,9.39
IDFCFIRSTB,41.7,42.2,41.25,41.45,-0.15,-0.36,227.4,94.9,62,37.6,-23.31,-1.07
RBLBANK,132.45,133.2,130.5,130.7,-1.05,-0.8,62.37,81.92,226.4,118.1,-32.51,-1.84
AXISBANK,805.8,805.8,790.85,792,-6.45,-0.81,76.4,609.37,866.9,626.65,19.82,11.54
KOTAKBANK,"1,807.70","1,818.50","1,772.75","1,780.00",-21.85,-1.21,19.24,345.61,"2,253.00","1,626.00",0.23,-0.49
HDFCBANK,"1,490.00","1,502.30","1,462.65","1,464.00",-29.5,-1.98,144.46,"2,134.84","1,725.00","1,292.00",4.55,1.49
BANDHANBNK,336.6,336.6,324.55,326.8,-6.65,-1.99,89.67,296.26,354.35,229.55,-1.54,23.34
